## Mean, standard deviation, standard error (sd/sqrt(n)), and number of answers to the question "How happy are you?"
## on a 0(extremely unhappy)-10(extremely happy) scale, as computed from the data table corresponding to the ESS from 2002 to 2012
## downloaded from http://www.europeansocialsurvey.org/.
## The data can be found in the module "Subjective Well-Being, Social Exclusion, Religion, National and Ethnic Identity".
## Mathieu Kessler, Universidad Politécnica de Cartagena, January 20th, 2014.
"Country";"year";"mean";"sd";"n";"se"
"Poland";2002;6.424;2.25722683543918;2101;0.0492450041758673
"Poland";2004;6.725;2.24036611092766;1711;0.0541619123324875
"Poland";2006;6.955;2.12891025930353;1715;0.0514073589595875
"Poland";2008;7.151;2.05169585733735;1601;0.0512763750691718
"Poland";2010;7.318;2.02527963290619;1680;0.0494117635373582
"Poland";2012;7.319;2.00886595638065;1875;0.0463927720272897
"Portugal";2002;6.836;1.9865448791646;1501;0.0512752793112279
"Portugal";2004;6.481;1.76087087974483;2048;0.0389101168706716
"Portugal";2006;6.426;1.86647479613775;2174;0.0400306239982557
"Portugal";2008;6.423;2.06583769572754;2361;0.0425155894127391
"Portugal";2010;6.598;1.98748166251343;2142;0.0429431004710951
"Portugal";2012;6.44;1.94574770392966;2142;0.0420413635593427
"Romania";2008;6.091;2.1501502832546;2088;0.0470547606344138
"Russian Federation";2006;5.907;2.27611190292099;2390;0.0465580368220939
"Russian Federation";2008;6.039;2.21708147766215;2475;0.0445650144912247
"Russian Federation";2010;6.143;2.23840399878241;2568;0.0441713795541341
"Russian Federation";2012;6.229;2.14623679085413;2441;0.0434403929968191
"Slovakia";2004;6.244;2.15003589815794;1493;0.0556436752532736
"Slovakia";2006;6.532;2.00339677292564;1736;0.0480830612327942
"Slovakia";2008;6.616;1.93513575823931;1780;0.0458671163376643
"Slovakia";2010;6.662;1.89886578510734;1832;0.0443640855933061
"Slovakia";2012;6.659;1.85970478407769;1828;0.0434966602752356
"Slovenia";2002;6.927;2.07349068861395;1510;0.0533597290654627
"Slovenia";2004;7.186;1.93562166992953;1433;0.0511325415978781
"Slovenia";2006;7.245;1.99208108551445;1466;0.0520283468443012
"Slovenia";2008;7.237;1.90170437817248;1280;0.053154253283783
"Slovenia";2010;7.282;1.90464762525863;1393;0.0510315878164047
"Slovenia";2012;7.254;1.98790949820375;1254;0.0561368242841425
"Spain";2002;7.301;1.84943633285553;1703;0.0448158936900502
"Spain";2004;7.325;1.76497546168882;1655;0.0433850070888423
"Spain";2006;7.636;1.65542378338459;1874;0.038240573524701
"Spain";2008;7.64;1.61877696279809;2570;0.0319315833263854
"Spain";2010;7.574;1.63442928420261;1884;0.037655263044587
"Spain";2012;7.576;1.87241631229964;1885;0.0431267507410177
"Sweden";2002;7.89;1.57936935900645;1989;0.0354132933158344
"Sweden";2004;7.842;1.63823401298929;1934;0.0372518378280761
"Sweden";2006;7.884;1.55919072311917;1920;0.0355834971043817
"Sweden";2008;7.829;1.60205113187789;1827;0.0374806487501765
"Sweden";2010;7.912;1.54966692911855;1495;0.0400790822864692
"Sweden";2012;7.815;1.56953599183855;1846;0.0365304843808418
"Switzerland";2002;7.981;1.46449489760379;2036;0.0324562975407366
"Switzerland";2004;8.029;1.5434993439019;2135;0.0334046949022261
"Switzerland";2006;8.065;1.46600214692327;1800;0.0345540019774493
"Switzerland";2008;7.942;1.56695178122219;1817;0.0367602256630108
"Switzerland";2010;8.065;1.45174824692148;1506;0.0374092347544482
"Switzerland";2012;8.081;1.51046431505318;1489;0.039143812329491
"Total";2002;7.362;1.97107593616014;42150;0.00960073685649455
"Total";2004;7.195;2.03694639683148;47250;0.00937084369786605
"Total";2006;7.142;2.0635008686879;42615;0.00999593468354597
"Total";2008;6.94;2.14722237818144;56246;0.00905380639608844
"Total";2010;6.992;2.10715609167607;51993;0.00924111275958901
"Total";2012;7.274;2.01373002215272;43933;0.00960739871554317
"Turkey";2004;6.665;2.56864043167327;1848;0.0597519840965773
"Turkey";2008;5.504;2.66045910905581;2336;0.0550452906260098
"Ukraine";2004;5.46;2.39461579412005;1982;0.0537878292544677
"Ukraine";2006;5.623;2.46883179668998;1947;0.0559510867549857
"Ukraine";2008;5.343;2.43227829199196;1785;0.0575697248170911
"Ukraine";2010;5.597;2.44971027019822;1849;0.0569700062836796
"United Kingdom";2002;7.533;1.87732439203655;2051;0.041453050242654
"United Kingdom";2004;7.358;1.88669069480585;1890;0.0433980089872404
"United Kingdom";2006;7.425;1.96814932765289;2393;0.0402333964681918
"United Kingdom";2008;7.444;1.88570598734247;2352;0.0388826021215952
"United Kingdom";2010;7.406;1.91890829255893;2418;0.0390234867840155
"United Kingdom";2012;7.497;1.94918634345435;2277;0.0408480984921102
